"source_type","source_id","source_title","source_url","target_url","action","status","notes"
"product_category","40","Filmy i Seriale","https://drukarniareklamova.pl/kategoria/plakaty/filmy-i-seriale/","https://drukarniareklamova.pl/kategoria/plakaty/filmy-i-seriale/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","49","Natura","https://drukarniareklamova.pl/kategoria/plakaty/natura/","https://drukarniareklamova.pl/kategoria/plakaty/natura/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","50","Ludzie","https://drukarniareklamova.pl/kategoria/plakaty/ludzie/","https://drukarniareklamova.pl/kategoria/plakaty/ludzie/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","51","Abstrakcja","https://drukarniareklamova.pl/kategoria/plakaty/abstrakcja/","https://drukarniareklamova.pl/kategoria/plakaty/abstrakcja/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","52","Oznakowania","https://drukarniareklamova.pl/kategoria/naklejki/oznakowania/","https://drukarniareklamova.pl/kategoria/naklejki/oznakowania/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","53","Ulotki","https://drukarniareklamova.pl/kategoria/ulotki/","","remove_410","proposed","Pusta kategoria; potwierdzić przed cutover."
"product_category","60","Materiały reklamowe","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","61","Smycze","https://drukarniareklamova.pl/kategoria/smycze/","https://drukarniareklamova.pl/kategoria/smycze/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","74","Folia transferowa","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/folia-transferowa/","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/folia-transferowa/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product_category","75","Papier transportowy","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/papier-transportowy/","https://drukarniareklamova.pl/kategoria/materialy-reklamowe/papier-transportowy/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
